,Treatment,Timestamp,ODmean,ODsd,ODcount,ElapsedTime,OD2mean,OD2sd,ODse,OD2se,Temp,RPM,pH,Volume,Media,Col,pch,InoculationDate,ExpName
122,Temp_65,10/18/17 12:52,1.2204,0.050326534,5,151.1605556,1.2204,0.050326534,0.02250671,0.02250671,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
123,Temp_65,10/18/17 20:33,1.247,0.067271391,5,158.8483333,1.247,0.067271391,0.03008468,0.03008468,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
124,Temp_65,10/19/17 4:55,1.33076,0.090961904,5,167.205,1.33076,0.090961904,0.0406794,0.0406794,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
125,Temp_65,10/19/17 12:06,1.36568,0.115783557,5,174.3852778,1.36568,0.115783557,0.051779981,0.051779981,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
28,Temp_70,8/30/17 8:49,0.0408,NA,5,0,0.0408,NA,NA,NA,70,200,3,125,Brock,black,15,Cobban 2020,Saci Batch Experiments
29,Temp_70,8/30/17 17:25,0.0278,0.00171464,5,8.6,0.0278,0.00171464,0.00076681,0.00076681,70,200,3,125,Brock,black,15,Cobban 2020,Saci Batch Experiments
30,Temp_70,8/31/17 6:15,0.10588,0.01571025,5,21.4333333,0.10588,0.01571025,0.00702584,0.00702584,70,200,3,125,Brock,black,15,Cobban 2020,Saci Batch Experiments
31,Temp_70,8/31/17 15:03,0.2466,0.04573839,5,30.2333333,0.2466,0.04573839,0.02045483,0.02045483,70,200,3,125,Brock,black,15,Cobban 2020,Saci Batch Experiments
32,Temp_70,8/31/17 19:13,0.35888,0.07346599,5,34.4,0.35888,0.07346599,0.03285499,0.03285499,70,200,3,125,Brock,black,15,Cobban 2020,Saci Batch Experiments
33,Temp_70,9/1/17 5:18,0.64652,0.11525386,5,44.4833333,0.64652,0.11525386,0.05154309,0.05154309,70,200,3,125,Brock,black,15,Cobban 2020,Saci Batch Experiments
34,Temp_70,9/1/17 14:23,1.0356,0.2416017,5,53.5666667,1.0356,0.2416017,0.10804756,0.10804756,70,200,3,125,Brock,black,15,Cobban 2020,Saci Batch Experiments
35,Temp_70,9/1/17 20:08,1.25812,0.2270738,5,59.3308333,1.25812,0.2270738,0.10155049,0.10155049,70,200,3,125,Brock,black,15,Cobban 2020,Saci Batch Experiments
36,Temp_70,9/2/17 6:36,1.5346,0.16123306,5,69.7891667,1.5346,0.16123306,0.07210562,0.07210562,70,200,3,125,Brock,black,15,Cobban 2020,Saci Batch Experiments
37,Temp_70,9/2/17 15:04,1.66028,0.12749169,5,78.2513889,1.66028,0.12749169,0.05701602,0.05701602,70,200,3,125,Brock,black,15,Cobban 2020,Saci Batch Experiments
38,Temp_70,9/3/17 6:06,1.8832,0.13703379,5,93.285,1.8832,0.13703379,0.06128337,0.06128337,70,200,3,125,Brock,black,15,Cobban 2020,Saci Batch Experiments
39,Temp_70,9/3/17 14:14,1.96316,0.13750188,5,101.4275,1.96316,0.13750188,0.06149271,0.06149271,70,200,3,125,Brock,black,15,Cobban 2020,Saci Batch Experiments
126,Temp_75,8/21/17 16:19,0.03316,0.017568381,5,0,0.03316,0.017568381,0.007856819,0.007856819,75,200,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
127,Temp_75,8/22/17 5:35,0.05656,0.009731804,5,13.26666667,0.05656,0.009731804,0.004352195,0.004352195,75,200,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
128,Temp_75,8/22/17 10:51,0.15068,0.014490411,5,18.53333333,0.15068,0.014490411,0.006480309,0.006480309,75,200,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
129,Temp_75,8/22/17 16:00,0.299,0.031882283,5,23.68333333,0.299,0.031882283,0.014258191,0.014258191,75,200,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
130,Temp_75,8/22/17 20:29,0.47196,0.057180136,5,28.16666667,0.47196,0.057180136,0.025571734,0.025571734,75,200,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
131,Temp_75,8/23/17 4:57,0.83564,0.130047022,5,36.63333333,0.83564,0.130047022,0.058158796,0.058158796,75,200,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
132,Temp_75,8/23/17 11:06,1.07712,0.136201292,5,42.78694444,1.07712,0.136201292,0.06091107,0.06091107,75,200,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
133,Temp_75,8/23/17 16:14,1.24504,0.119979782,5,47.91666667,1.24504,0.119979782,0.05365659,0.05365659,75,200,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
134,Temp_75,8/23/17 20:33,1.37404,0.08722745,5,52.23333333,1.37404,0.08722745,0.039009301,0.039009301,75,200,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
135,Temp_75,8/24/17 4:40,1.46844,0.152763831,5,60.35,1.46844,0.152763831,0.068318062,0.068318062,75,200,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
136,Temp_75,8/24/17 9:34,1.5868,0.207026182,5,65.25,1.5868,0.207026182,0.092584923,0.092584923,75,200,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
137,Temp_75,8/24/17 13:55,1.60948,0.226336678,5,69.60833333,1.60948,0.226336678,0.10122084,0.10122084,75,200,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
138,Temp_80,8/21/17 16:20,0.01764,0.012662859,5,0,0.01764,0.012662859,0.005663003,0.005663003,80,200,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
139,Temp_80,8/22/17 5:37,0.06388,0.006634154,5,13.28333333,0.06388,0.006634154,0.002966884,0.002966884,80,200,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
140,Temp_80,8/22/17 10:52,0.20592,0.018935469,5,18.53333333,0.20592,0.018935469,0.008468199,0.008468199,80,200,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
141,Temp_80,8/22/17 16:02,0.44228,0.029516301,5,23.7,0.44228,0.029516301,0.013200091,0.013200091,80,200,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
142,Temp_80,8/22/17 20:30,0.63336,0.041543808,5,28.16666667,0.63336,0.041543808,0.018578956,0.018578956,80,200,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
143,Temp_80,8/23/17 4:59,1.00552,0.029543392,5,36.65,1.00552,0.029543392,0.013212206,0.013212206,80,200,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
144,Temp_80,8/23/17 11:07,1.23404,0.075345259,5,42.795,1.23404,0.075345259,0.033695424,0.033695424,80,200,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
145,Temp_80,8/23/17 16:15,1.34972,0.126078198,5,47.91666667,1.34972,0.126078198,0.056383884,0.056383884,80,200,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
146,Temp_80,8/23/17 20:35,1.3988,0.132269951,5,52.25,1.3988,0.132269951,0.05915292,0.05915292,80,200,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
147,Temp_80,8/24/17 4:44,1.46644,0.151350415,5,60.4,1.46644,0.151350415,0.067685963,0.067685963,80,200,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
148,Temp_80,8/24/17 9:36,1.55368,0.192808485,5,65.26666667,1.55368,0.192808485,0.086226576,0.086226576,80,200,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
149,Temp_80,8/24/17 13:57,1.65268,0.214768461,5,69.62833333,1.65268,0.214768461,0.096047376,0.096047376,80,200,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
